# x_mm,y_mm,z_mm
3.205257715528469475e+01,4.925979953716916526e+01,2.178072154362944346e+01
3.244609338128436349e+01,4.969690220827364158e+01,2.275468435697895586e+01
3.283624064757728434e+01,5.012907195247551329e+01,2.370342804011220039e+01
3.322245589210746175e+01,5.055631497262305629e+01,2.462688861768659265e+01
3.358081167463652150e+01,5.098325667417667972e+01,2.552124886218430433e+01
3.392978446993398478e+01,5.140393560238808845e+01,2.638713029039381652e+01
3.427287339846549230e+01,5.181717472272237757e+01,2.722560056201866274e+01
3.460950805793788021e+01,5.222217367629115614e+01,2.803662490604675028e+01
3.492214156990651475e+01,5.261996527172327376e+01,2.881597160205036445e+01
3.522097497541155064e+01,5.300900930235671638e+01,2.956750462245759081e+01
3.551393905466306933e+01,5.338539606439313445e+01,3.028993801167268529e+01
3.579938402819177412e+01,5.374902913790121062e+01,3.098426763854729415e+01
3.607365914084999758e+01,5.410059406741017085e+01,3.165190050716601533e+01
3.632397431282422673e+01,5.443769102741569554e+01,3.228574048390296269e+01
3.656416230434074066e+01,5.476102549575564638e+01,3.289366709106022313e+01
3.679375593069162420e+01,5.507013375530602417e+01,3.347614013425802426e+01
3.701839885457056312e+01,5.535959157874839320e+01,3.402780241710885889e+01
3.723072368218723227e+01,5.563421881152316217e+01,3.455460834988993923e+01
3.743058251680952253e+01,5.584450579383558022e+01,3.508176684133091072e+01
1.883406111340096345e+01,4.370545473276943227e+01,-8.393788647322759922e-02
1.930660144884513230e+01,4.410267441251922804e+01,6.287836463535003695e-01
1.976996138068244946e+01,4.449639379310379184e+01,1.409564422236189607e+00
2.022214235502320534e+01,4.487074690278198119e+01,2.259121056543373474e+00
2.067086114822821230e+01,4.522762138227513162e+01,3.169111605979942237e+00
2.111009857361879227e+01,4.558657055749217335e+01,4.126339855004635737e+00
2.155947727433901662e+01,4.594668994704215237e+01,5.120253083576242759e+00
2.202504684717554895e+01,4.629977254567559442e+01,6.146427118375375365e+00
2.250214083165957746e+01,4.664854240661004070e+01,7.201499178414495717e+00
2.297328159517183721e+01,4.700384998986552887e+01,8.278849981883427134e+00
2.345728554566899504e+01,4.734917772494166144e+01,9.373886283794425012e+00
2.395103373689601156e+01,4.768695739695427704e+01,1.048332731356823011e+01
2.443899796916156220e+01,4.802669939411895683e+01,1.160096122320180712e+01
2.493095152375456891e+01,4.835941560406440942e+01,1.271987781732201839e+01
2.542752576251692886e+01,4.868640624816578821e+01,1.383890022136744591e+01
2.592224587137300063e+01,4.901103379384107228e+01,1.495272482254633850e+01
2.641178466088077670e+01,4.933296731950640890e+01,1.605355670815791669e+01
2.690058000037229391e+01,4.965246828634163023e+01,1.714324649560314029e+01
2.739149713594901314e+01,4.996700694402258591e+01,1.821706716000977622e+01
2.786875535697440753e+01,5.028304905013777670e+01,1.926828552109211756e+01
2.834237286463641325e+01,5.059755703685623729e+01,2.029943692787557552e+01
2.881571537885718470e+01,5.090788379123350893e+01,2.130729466815360595e+01
2.927848402485433965e+01,5.121838275350027203e+01,2.228949307840887428e+01
2.973033068093577214e+01,5.152831773302228413e+01,2.324431678669485279e+01
3.017835988736683106e+01,5.183459220356575514e+01,2.417242284955995402e+01
3.062151100799394854e+01,5.213725488537467356e+01,2.507362698642562648e+01
3.104733412814987048e+01,5.243923241177375871e+01,2.594446336733297542e+01
3.146541864940263622e+01,5.273621127703048472e+01,2.678616361387211597e+01
3.187629531029369190e+01,5.302775798719134315e+01,2.760002962398819548e+01
3.227916488515667481e+01,5.331316332759819687e+01,2.838609894212912366e+01
3.266645289146801900e+01,5.359201058990286271e+01,2.914030065412611137e+01
3.304042098693664542e+01,5.386473258736192093e+01,2.986714964761099367e+01
3.340691714958638414e+01,5.412699528651259584e+01,3.056518574902025520e+01
3.376370822320114939e+01,5.437915203099180417e+01,3.123562799369337029e+01
3.410689207740318807e+01,5.462270695177294044e+01,3.188050629445709561e+01
3.443412162293621037e+01,5.485308067686609235e+01,3.249243621574841256e+01
3.474748127313684876e+01,5.507316727600769468e+01,3.307962818395701277e+01
3.504651445830060652e+01,5.528281407423548188e+01,3.364352949994671604e+01
3.533850848334457595e+01,5.547427108287612185e+01,3.417777324843324038e+01
3.561381141013509222e+01,5.565422605071792361e+01,3.468841992010606390e+01
3.587444089680995774e+01,5.578039182669738238e+01,3.518938288896997335e+01
1.602438788661740787e+01,4.777564196174257205e+01,-5.621753401516896981e-02
1.646293051361113058e+01,4.809520853189103207e+01,7.212672774472558279e-01
1.689615489934009318e+01,4.841277767274351618e+01,1.558749640183108909e+00
1.732215350459691194e+01,4.871070510819048849e+01,2.451571216809479203e+00
1.775179762611949030e+01,4.899346006376357110e+01,3.403142336547179791e+00
1.818267331388948449e+01,4.927215267997416248e+01,4.403509808105463996e+00
1.862265241239667191e+01,4.954674294400082601e+01,5.433847923393644308e+00
1.907805832006721403e+01,4.981096103130786901e+01,6.493016591972890161e+00
1.954729972005765504e+01,5.006915321652261497e+01,7.582767808567532519e+00
2.002061348155595866e+01,5.032501337083573389e+01,8.691595738223929501e+00
2.050560830343450291e+01,5.056779368263678265e+01,9.811042767226837213e+00
2.100145522514469576e+01,5.080243408859435306e+01,1.094379654719988793e+01
2.149899217698607501e+01,5.103368205917949041e+01,1.208002406928664385e+01
2.200558805416546804e+01,5.125310899124509234e+01,1.321220169712028536e+01
2.251718144386330778e+01,5.146716372996014144e+01,1.434099671018061173e+01
2.302981826471635074e+01,5.167670093050138291e+01,1.545810001181142823e+01
2.354893553934369876e+01,5.187777552730592845e+01,1.656037873629833257e+01
2.406674762102971954e+01,5.207783074116019861e+01,1.764678583331969364e+01
2.458560302737982539e+01,5.227290332440898624e+01,1.871052341986554879e+01
2.510619531733308563e+01,5.246399501437544188e+01,1.975198700259267781e+01
2.562315903171548825e+01,5.265476091104587653e+01,2.076911209857084017e+01
2.613949809502021537e+01,5.284184855791257718e+01,2.175858140147354547e+01
2.665243308034220249e+01,5.302783363325671218e+01,2.272117830190100207e+01
2.716138983904379955e+01,5.321188252149114817e+01,2.365483880888716683e+01
2.766612291695784620e+01,5.339362491890049967e+01,2.455926435863923629e+01
2.816540289678284381e+01,5.357327477213468114e+01,2.543454896057743397e+01
2.865789855611673431e+01,5.375045722087185140e+01,2.628004361086768270e+01
2.914443699776824204e+01,5.392351919840310615e+01,2.709555199093673039e+01
2.962297064411490766e+01,5.409326233002423123e+01,2.788236647357439679e+01
3.009172217401413363e+01,5.425888544499887445e+01,2.863952316641704599e+01
3.055398216915309462e+01,5.441720534663157594e+01,2.936722546826534597e+01
3.100372687016933071e+01,5.457167396845208174e+01,3.006778066470711508e+01
3.144417955403611487e+01,5.471744458461041916e+01,3.073869705989608292e+01
3.187429726069768776e+01,5.485585022841949154e+01,3.138354923576791222e+01
3.228738706756827526e+01,5.498886985694657170e+01,3.200182628113599037e+01
3.269287473650721410e+01,5.510773638126631369e+01,3.259084413181906825e+01
3.308355108600886041e+01,5.522006489332502355e+01,3.315790894218130802e+01
3.345363331320803724e+01,5.532482264494552737e+01,3.369983639631520589e+01
3.381548540362842914e+01,5.541151263382975145e+01,3.421416054846535815e+01
3.416092036289680323e+01,5.549069046173024589e+01,3.470878861383020109e+01
3.449050832448880044e+01,5.552882212973157294e+01,3.518331618121346338e+01
