# x_mm,y_mm,z_mm
4.199248695613957238e+01,5.333733869329083177e+01,3.334163911677812564e+01
4.201088113741924701e+01,5.379087124656098950e+01,3.417059557694556560e+01
4.202795724136979061e+01,5.421796088334826891e+01,3.496427484971911070e+01
4.204415752800476014e+01,5.469877877056598692e+01,3.568266960920319519e+01
2.741534381018519539e+01,3.064428113489713468e+01,2.094836695846687968e-01
2.774046315772996252e+01,3.108498532264418301e+01,9.196452313855888461e-01
2.811826902934597072e+01,3.155680924132477472e+01,1.620112774486964780e+00
2.855944159367210844e+01,3.206805184306067247e+01,2.298563550167470826e+00
2.905033497199662307e+01,3.261210325364088902e+01,2.968580040812034415e+00
2.953672553419682600e+01,3.321043877408314415e+01,3.653006161128323548e+00
3.003350053972032185e+01,3.382891099202620211e+01,4.377331737305427239e+00
3.054952784266003363e+01,3.445609829987061801e+01,5.137954413754620475e+00
3.107583366403433089e+01,3.509263230639338360e+01,5.931755669420916810e+00
3.156533128606557526e+01,3.576661778287896709e+01,6.763787643105959368e+00
3.207114923153160646e+01,3.644510964355909266e+01,7.629430183027142043e+00
3.258890147134214033e+01,3.712531882158118890e+01,8.523890643990108984e+00
3.307714871156483838e+01,3.782614536052155074e+01,9.448726670620782642e+00
3.355444896822512391e+01,3.853661349926323254e+01,1.040158569015648027e+01
3.403979216869574032e+01,3.924516235636072281e+01,1.137718680613417632e+01
3.451209527787217723e+01,3.995763876634798351e+01,1.237309306130813269e+01
3.494575276584211565e+01,4.068204442932547238e+01,1.338936051936788552e+01
3.538282033649574032e+01,4.140097994279159366e+01,1.441991868449516545e+01
3.582250150553003465e+01,4.211217544670348190e+01,1.546038044837856695e+01
3.620350332326288623e+01,4.283323328056963675e+01,1.651209186634673998e+01
3.658073411622971349e+01,4.354569129331474642e+01,1.756826522321495077e+01
3.695744656322917621e+01,4.424703046048351496e+01,1.862516510036309469e+01
3.730192685528695051e+01,4.494405419780667188e+01,1.968173565649382439e+01
3.761266675253796876e+01,4.563488195918722568e+01,2.073487514956881128e+01
3.791948463219868160e+01,4.631107686491986186e+01,2.177944787252759085e+01
3.822278748296307782e+01,4.697258717138734596e+01,2.281428217168362949e+01
3.847467795303732885e+01,4.762636381350939985e+01,2.383783236291963092e+01
3.871117087592669037e+01,4.826358170433774575e+01,2.484489120914526694e+01
3.894200592490238932e+01,4.888238535357843517e+01,2.583377850718932223e+01
3.916774363243863633e+01,4.948284101788411249e+01,2.680383418964455444e+01
3.934969641404633478e+01,5.006800304427373760e+01,2.775219097241583910e+01
3.951351526457629149e+01,5.063318916891022781e+01,2.867608676040858739e+01
3.967207227394202818e+01,5.117637440822165473e+01,2.957361026326091391e+01
3.982511222966767406e+01,5.169760948543839163e+01,3.044413344806675781e+01
3.997024128862638293e+01,5.219782459008531816e+01,3.128815289623499041e+01
4.007193996356545540e+01,5.267719948948576558e+01,3.210068566508480359e+01
4.016799620106165492e+01,5.313308663556459521e+01,3.288179203266675188e+01
4.025897297675638242e+01,5.356619046686561347e+01,3.363193864601448269e+01
4.034725425477370209e+01,5.397516603802234414e+01,3.434830494124096845e+01
4.043030055173710480e+01,5.436183894320087973e+01,3.503299243416559250e+01
4.050819916849279423e+01,5.479487615406050338e+01,3.564933283924972329e+01
2.447377829016272699e+01,3.494248558064334986e+01,1.579761651225844998e-01
2.478125887519938786e+01,3.531953830747872303e+01,9.402301813489724047e-01
2.513935847083710584e+01,3.572548353621351680e+01,1.727722436651610405e+00
2.555955806960426102e+01,3.616513756399042023e+01,2.511429154089000804e+00
2.602946915155219543e+01,3.663154507536711435e+01,3.300853030093432228e+00
2.650161020638150688e+01,3.713941336353854439e+01,4.112447424144911601e+00
2.698424958606685209e+01,3.765928400067606674e+01,4.964650350769741927e+00
2.748544114184263165e+01,3.818080905525413016e+01,5.852843244829096570e+00
2.799754973791101520e+01,3.870535300207339446e+01,6.772859033027276432e+00
2.848322379135884574e+01,3.925565106467723808e+01,7.725568460453292374e+00
2.898448680406725941e+01,3.980406121720878332e+01,8.706815967921988531e+00
2.949714708599290347e+01,4.034963838888251786e+01,9.710963278327159998e+00
2.998832310904975174e+01,4.090876326097448157e+01,1.073630869613221073e+01
3.047390725716379478e+01,4.147140026887299058e+01,1.177897372631031203e+01
3.096673285144959209e+01,4.203030922655691626e+01,1.283462781590741919e+01
3.145034234742632862e+01,4.259105872113661917e+01,1.389872238107937008e+01
3.190663257503080175e+01,4.315971410040996403e+01,1.496805963113270721e+01
3.236563270008038273e+01,4.372474731799031389e+01,1.604015781174951627e+01
3.282708374662970385e+01,4.428399130836358921e+01,1.710888725062190119e+01
3.324477771398153436e+01,4.485258534121680185e+01,1.817201862331996054e+01
3.365963169929391086e+01,4.541720633703912569e+01,1.922759096419349589e+01
3.407419752954149317e+01,4.597525753293193418e+01,2.027078389093553668e+01
3.446360756232409983e+01,4.653326826469159982e+01,2.129955901794379614e+01
3.482732299841841694e+01,4.709032785641719698e+01,2.231201993565793273e+01
3.518778122111075390e+01,4.763957615258829748e+01,2.330553153631023378e+01
