"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,         117,      -5.446711072,      -3.161036227,      -3.126426672,      -3.076746446,    -0.01222466481
          0,           0,         118,      -5.447943829,       -3.16351291,      -3.128266099,      -3.079272768,    -0.01408916999
          0,           0,         119,      -5.449177009,      -3.165953762,      -3.129904676,       -3.08195846,    -0.01591464563
          0,           0,         120,        -5.4504174,      -3.167792043,      -3.131923057,       -3.08477339,    -0.01767078858
          0,           0,         121,      -5.451837311,      -3.170059553,      -3.133777181,      -3.087697992,    -0.01961484246
          0,           0,         122,      -5.453414964,       -3.17196928,      -3.134917095,      -3.090712298,    -0.02165867129
          0,           0,         123,      -5.454817881,      -3.173387059,      -3.135918768,      -3.093799254,    -0.02338736662
          0,           0,         124,      -5.456392082,      -3.174503766,      -3.137549424,      -3.096934785,    -0.02526303341
          0,           0,         125,      -5.457912768,      -3.175391044,      -3.137806846,      -3.100145042,    -0.02695324394
          0,           0,         126,      -5.459128877,      -3.174438672,      -3.137446153,      -3.103395494,    -0.02808644283
          0,           0,         127,      -5.461154871,      -3.176041899,      -3.138014171,      -3.106651484,    -0.03025499872
          0,           0,         128,      -5.463051892,      -3.175929704,      -3.138331797,      -3.109970169,    -0.03210030972
          0,           0,         129,      -5.464694357,      -3.175614825,      -3.137273026,      -3.113323667,    -0.03351375066
          0,           0,         130,      -5.466588511,      -3.174859477,      -3.136245977,      -3.116675379,    -0.03511155259
          0,           0,         131,      -5.468505464,      -3.174168745,      -3.136331528,      -3.120036343,    -0.03665182208
          0,           0,         132,      -5.470288975,      -3.172171896,      -3.136413281,      -3.123393603,    -0.03789333493
          0,           0,         133,      -5.471975057,       -3.17026574,      -3.135606585,      -3.126781505,    -0.03895746911
          0,           0,         134,      -5.473957631,      -3.168243047,      -3.134235927,      -3.130167234,     -0.0403141502
          0,           0,         135,      -5.475928734,      -3.166371902,      -3.132899072,      -3.133533521,    -0.04161849264
          0,           0,         136,      -5.477730438,      -3.163339393,      -3.131671722,      -3.136921527,    -0.04263674706
          0,           0,         137,      -5.479449306,      -3.160605395,      -3.131339911,       -3.14027334,    -0.04355165065
          0,           0,         138,      -5.481499864,      -3.158006949,      -3.131256763,      -3.143627105,    -0.04483828385
          0,           0,         139,      -5.483448681,      -3.155449522,      -3.131495705,      -3.146967448,    -0.04602601833
          0,           0,         140,      -5.485419564,      -3.152544192,      -3.131218764,      -3.150304362,    -0.04721777602
          0,           0,         141,      -5.487313721,      -3.149780604,      -3.131092119,      -3.153635683,    -0.04836285068
          0,           0,         142,      -5.489459917,      -3.146966046,      -3.130296012,      -3.156991761,    -0.04979471882
          0,           0,         143,       -5.49041157,      -3.142467356,      -3.129584079,      -3.160344966,    -0.05099095811
          0,           0,         144,      -5.493199866,      -3.141313181,      -3.130027609,      -3.163712566,    -0.05235213037
          0,           0,         145,      -5.495502672,      -3.139090273,      -3.130196894,      -3.167108426,    -0.05419456895
          0,           0,         146,      -5.497260365,      -3.135949998,      -3.130578982,      -3.170559058,    -0.05556336477
          0,           0,         147,      -5.499465133,      -3.133599571,      -3.131081814,      -3.174000116,    -0.05747852289
          0,           0,         148,      -5.501659872,      -3.130937426,      -3.131880435,      -3.177474403,    -0.05950751515
          0,           0,         149,      -5.503586143,      -3.127364051,      -3.132108384,      -3.180904878,    -0.06134406447
          0,           0,         150,      -5.505148432,      -3.122666067,      -3.132219828,      -3.184335732,    -0.06272542786
