"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,         224,      -5.543069686,      -3.206167232,      -3.434724239,       -3.56840039,     -0.1286255704
          0,           0,         225,       -5.55412166,      -3.205344135,      -3.402424857,       -3.53579396,      -0.141856503
          0,           0,         226,      -5.565516171,      -3.204339465,      -3.375188898,      -3.508291131,     -0.1556208024
          0,           0,         227,      -5.577024299,      -3.203108046,      -3.352533204,      -3.485419556,     -0.1696609922
          0,           0,         228,       -5.58827922,      -3.201655461,       -3.33404969,       -3.46677282,     -0.1835219556
          0,           0,         229,      -5.599025565,       -3.19990614,      -3.319425747,      -3.452022161,     -0.1968723461
          0,           0,         230,       -5.60886927,      -3.197894474,        -3.3084117,       -3.44089964,     -0.2091739082
          0,           0,         231,      -5.617597626,      -3.195569746,      -3.300806368,      -3.433228862,     -0.2201142343
          0,           0,         232,      -5.624833997,      -3.192975845,      -3.296476627,       -3.42885216,     -0.2291451498
          0,           0,         233,      -5.630471272,      -3.190036421,      -3.295325173,      -3.427661381,     -0.2360837761
          0,           0,         234,      -5.634283519,      -3.186825552,      -3.297288122,      -3.429588309,     -0.2405789594
          0,           0,         235,      -5.636353605,      -3.183276139,      -3.302344987,       -3.43457366,     -0.2427297457
          0,           0,         236,      -5.636677795,      -3.179510733,       -3.31049793,      -3.442653397,     -0.2425067037
          0,           0,         237,      -5.635576534,      -3.175470783,      -3.321806285,       -3.45387079,     -0.2403590787
          0,           0,         238,      -5.633175978,      -3.171279306,      -3.336351684,      -3.468277373,     -0.2364674286
          0,           0,         239,      -5.629907977,      -3.166872252,      -3.354260998,      -3.485966858,     -0.2314503631
          0,           0,         240,      -5.625944923,      -3.162371532,      -3.375683991,      -3.507072255,     -0.2255479834
          0,           0,         241,      -5.621729571,      -3.157729938,      -3.400800073,      -3.531768277,      -0.219371223
          0,           0,         242,       -5.61744338,      -3.153098639,      -3.429841241,      -3.560260114,      -0.213135933
          0,           0,         243,       -5.61370985,      -3.148475867,      -3.463043139,      -3.592757188,     -0.2076160363
          0,           0,         244,       -5.61029596,      -3.143969932,      -3.500639989,      -3.629415934,     -0.2025279732
          0,           0,         245,      -5.607719232,      -3.139502385,      -3.542783787,      -3.670377126,     -0.1984977873
          0,           0,         246,        -5.6059911,      -3.135227037,      -3.589355643,      -3.715539276,     -0.1955130589
          0,           0,         247,      -5.605303688,      -3.131052921,      -3.639711656,      -3.764297358,     -0.1938213367
          0,           0,         248,      -5.605733515,      -3.127099448,       -3.69203255,       -3.81502923,     -0.1934587569
          0,           0,         249,      -5.607471759,      -3.123360128,      -3.742369821,      -3.864342714,     -0.1946721935
          0,           0,         250,      -5.610427859,      -3.119928221,      -3.783801294,      -3.906338347,     -0.1973171024
          0,           0,         251,      -5.614779867,      -3.116724252,      -3.807285988,      -3.933013873,     -0.2016265094
          0,           0,         252,      -5.620419325,      -3.113841643,      -3.806301365,      -3.937698134,     -0.2074473189
          0,           0,         253,      -5.627527597,      -3.111203092,       -3.78214549,      -3.919886966,     -0.2150188739
          0,           0,         254,      -5.635989573,      -3.108895554,      -3.742724343,      -3.885776691,     -0.2241763305
          0,           0,         255,      -5.645869708,      -3.106862292,      -3.696778352,      -3.843525004,     -0.2350395339
          0,           0,         256,      -5.656937862,      -3.105191857,      -3.650327014,      -3.799375758,     -0.2473113156
          0,           0,         257,      -5.669238985,       -3.10378978,      -3.606543043,      -3.756946943,     -0.2610956997
          0,           0,         258,      -5.682465729,      -3.102718097,       -3.56679996,       -3.71797467,     -0.2760026602
          0,           0,         259,      -5.696649572,      -3.101881716,      -3.531526188,      -3.683132874,      -0.292108471
          0,           0,         260,      -5.711380802,      -3.101367359,      -3.500742745,      -3.652585471,     -0.3088671781
          0,           0,         261,      -5.726443078,      -3.101093922,      -3.474244517,      -3.626216695,     -0.3260516227
          0,           0,         262,      -5.741212534,      -3.101117299,      -3.451802938,       -3.60384345,     -0.3428164254
          0,           0,         263,      -5.755431619,      -3.101352716,      -3.433148924,      -3.585210667,      -0.358824419
          0,           0,         264,      -5.768537361,      -3.101839735,      -3.418055267,      -3.570125558,     -0.3732334689
          0,           0,         265,       -5.78000669,      -3.102502122,      -3.406315456,       -3.55841465,     -0.3853734707
          0,           0,         266,      -5.789080495,      -3.103417586,      -3.397780781,      -3.549904966,     -0.3941619525
          0,           0,         267,      -5.795445527,      -3.104507274,       -3.39232496,      -3.544472583,     -0.3992460335
          0,           0,         268,      -5.798652379,       -3.10580196,      -3.389850834,      -3.542020256,      -0.400057019
          0,           0,         269,      -5.798701729,      -3.107238676,      -3.390285068,      -3.542475076,     -0.3967915044
          0,           0,         270,      -5.795661983,      -3.108863636,      -3.393592802,      -3.545792585,     -0.3896664168
          0,           0,         271,      -5.789940899,       -3.11061699,      -3.399753006,      -3.551940543,     -0.3794382086
          0,           0,         272,      -5.781840375,      -3.112537812,      -3.408749173,      -3.560924282,     -0.3666290902
          0,           0,         273,      -5.771914521,      -3.114570633,       -3.42060936,      -3.572768183,     -0.3520988889
          0,           0,         274,      -5.760596408,      -3.116775874,      -3.435393501,      -3.587508799,     -0.3364103768
