"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,         128,       -4.44903521,      -2.315160856,      -1.873704832,      -2.030096554,       1.029254724
          0,           0,         129,      -4.479514162,      -2.331453979,      -1.859464102,      -2.022665169,      0.9914695556
          0,           0,         130,      -4.506742015,      -2.345208193,      -1.848905127,      -2.018979347,       0.957468078
          0,           0,         131,      -4.529061627,      -2.357147946,      -1.841714045,      -2.018945607,      0.9302130536
          0,           0,         132,      -4.544861793,      -2.367152847,      -1.837495164,      -2.022263449,      0.9123826031
          0,           0,         133,      -4.553332725,      -2.372530743,      -1.835894592,      -2.028766577,      0.9052255492
          0,           0,         134,      -4.554691167,      -2.374686551,      -1.836534089,      -2.038113851,      0.9077793938
          0,           0,         135,      -4.550353971,      -2.375536114,      -1.839109254,      -2.049927298,      0.9173663792
          0,           0,         136,      -4.541362536,      -2.375131254,      -1.843450443,      -2.063554608,      0.9317616557
          0,           0,         137,      -4.529360652,      -2.372662982,      -1.849346106,      -2.078547884,      0.9485711364
          0,           0,         138,      -4.515608286,      -2.366563889,      -1.856622259,      -2.094407036,      0.9662165634
          0,           0,         139,      -4.501269609,      -2.360285755,      -1.865142425,      -2.110345245,       0.983336011
          0,           0,         140,      -4.487340284,      -2.356723531,       -1.87485935,      -2.125342384,      0.9989386751
          0,           0,         141,       -4.47405531,      -2.353069379,      -1.885734355,       -2.13851295,       1.013039505
          0,           0,         142,      -4.460989676,      -2.344943727,      -1.897982066,      -2.149248694,       1.026281193
          0,           0,         143,      -4.448597966,      -2.337397622,      -1.911811257,      -2.157048508,       1.038283882
          0,           0,         144,      -4.437052032,      -2.334231765,      -1.927394196,      -2.161827597,       1.048882671
          0,           0,         145,      -4.425940279,      -2.329858578,      -1.944954158,      -2.163798571,       1.058728305
          0,           0,         146,      -4.414999218,      -2.322361244,      -1.964940996,      -2.163420125,       1.068178782
          0,           0,         147,      -4.404378695,      -2.315755135,      -1.987866242,      -2.161467842,       1.077289869
          0,           0,         148,      -4.393968322,      -2.310373021,      -2.014325137,      -2.158602418,       1.086116083
          0,           0,         149,      -4.383795126,       -2.30422021,      -2.044962028,      -2.155567153,       1.094734503
          0,           0,         150,      -4.374160739,      -2.297295171,      -2.080382548,      -2.152701434,       1.103003308
          0,           0,         151,      -4.365358591,      -2.290627539,      -2.121023134,      -2.150327029,       1.110662228
