"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Turb_Kin_Energy","Omega"
77, -2.521296116e-02, 1.153838801e-02, -9.574932195e-03, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
78, -2.521296116e-02, 1.205395405e-02, -8.917169740e-03, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
79, -2.521296116e-02, 1.253207040e-02, -8.231703084e-03, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
80, -2.521296116e-02, 1.290864605e-02, -7.627619646e-03, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
81, -2.521296116e-02, 1.316921937e-02, -7.168360031e-03, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
82, -2.521296116e-02, 1.333426299e-02, -6.856468092e-03, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
83, -2.521296116e-02, 1.343327878e-02, -6.660386291e-03, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
84, -2.521296116e-02, 1.349085197e-02, -6.542983826e-03, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
85, -2.521296116e-02, 1.352374551e-02, -6.474722515e-03, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
86, -2.521296116e-02, 1.354235602e-02, -6.435706466e-03, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
87, -2.521296116e-02, 1.355282845e-02, -6.413623415e-03, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
88, -2.521296116e-02, 1.355870367e-02, -6.401193577e-03, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
89, -2.521296116e-02, 1.356199421e-02, -6.394219047e-03, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
90, -2.521296116e-02, 5.276052211e-03, -1.444811727e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
91, -2.521296116e-02, 5.283482650e-03, -1.444540171e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
92, -2.521296116e-02, 5.296726007e-03, -1.444055100e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
93, -2.521296116e-02, 5.320257560e-03, -1.443189797e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
94, -2.521296116e-02, 5.361842807e-03, -1.441649962e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
95, -2.521296116e-02, 5.434629977e-03, -1.438921876e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
96, -2.521296116e-02, 5.559909083e-03, -1.434127716e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
97, -2.521296116e-02, 5.769411093e-03, -1.425828584e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
98, -2.521296116e-02, 6.103348791e-03, -1.411856767e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
99, -2.521296116e-02, 6.596696576e-03, -1.389490604e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
100, -2.521296116e-02, 7.248752455e-03, -1.356614932e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
101, -2.521296116e-02, 7.993362197e-03, -1.314119402e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
102, -2.521296116e-02, 8.713137859e-03, -1.267541116e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
103, -2.521296116e-02, 9.304927961e-03, -1.224757671e-02, 1.213544778e+00, 1.856872090e+02, 0.000000000e+00, 0.000000000e+00, 2.549899714e+05, 1.065465616e+02, 7.226244622e+05
